注文ID,注文時刻,注文内容,イベントID,イベントタイトル,チケットNo.,年代,"フリーフォーム1 所属(学校名または会社名)
 
 ※所属が無い方は「無し」とご記入ください。",オプション1 イベントを知ったきっかけ,オプション2 Club 2025に期待することをご選択ください。,オプション3 属性(最も当てはまるもの一つを選択してください),,
0214DMK5NJDVM,2025-04-16T10:33:02+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-17,10代,東海高校,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214DMN5hJAQX,2025-04-16T11:11:28+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-85,10代,名城大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DMNAQP00J,2025-04-16T11:14:25+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-30,20代,広島大学大学院,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DMR2UTWXR,2025-04-16T12:07:47+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-31,10代,青山学院大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DMSAAEShA,2025-04-16T12:31:37+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-32,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流",大学生大学院生,,
0214DMSBNYSGR,2025-04-16T12:32:02+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-33,10代,名古屋大学,スタッフからの紹介,"ディスカバリーセッション(ワークショップ),参加者との交流",大学生大学院生,,
0214DMSFJJNFZ,2025-04-16T12:34:17+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-34,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DMTZZTDRK,2025-04-16T13:03:55+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-35,20代,金城学院大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,遅刻,
0214DMXNCQQGK,2025-04-16T14:14:29+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-41,50代,株式会社ケイ・エスエス,その他,新しい知識や価値観の習得,社会人,,
0214DMZADJFSK,2025-04-16T14:46:14+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-36,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DMZYJKGA3,2025-04-16T14:58:42+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-86,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DN2ZSD2D6,2025-04-16T15:57:12+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-52,30代,合同会社ミライト,Club Facebook,"登壇者によるトークセッション,参加者との交流",社会人,,
0214DN64VU5GB,2025-04-16T16:58:37+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-53,50代,トヨタ自動車株式会社,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DN92I9MS7,2025-04-16T17:54:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-87,20代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DNAUX7XJE,2025-04-16T18:28:40+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-37,20代,同志社大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DNEUPI8KN,2025-04-16T19:45:45+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-88,20代,名古屋大学,登壇者・出展者からの紹介,"登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214DNFG5TA93,2025-04-16T19:57:53+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-89,20代,名古屋大学理学部生命理学科,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DNFZBQ051,2025-04-16T20:07:33+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-54,10代,無し,スタッフからの紹介,参加者との交流,社会人,,
0214DNGYSBUAK,2025-04-16T20:26:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-90,10代,名古屋市立大学,"Club Instagram,Club ホームページ,所属校・会社からの紹介,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DNhIFQ6RA,2025-04-16T20:37:39+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-20,10代,西尾高校,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",高校生,,
0214DNI55BBN2,2025-04-16T20:50:15+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-38,20代,名古屋大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DNJ89R3VA,2025-04-16T21:10:22+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-21,10代,西尾高等学校,Club Instagram,登壇者によるトークセッション,高校生,,
0214DNKQ42Z25,2025-04-16T21:38:36+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-22,10代,愛知県立愛知総合工科高等学校,"Club Facebook,所属校・会社からの紹介",新しい知識や価値観の習得,高校生,,
0214DNKUU8Z44,2025-04-16T21:41:32+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-55,40代,日進市,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DNMFQST9P,2025-04-16T21:53:04+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-91,20代,南山大学,所属校・会社からの紹介,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DNNCVDAJ2,2025-04-16T22:10:49+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-23,10代,名城大学附属高等学校,スタッフからの紹介,登壇者によるトークセッション,高校生,,
0214DNNDX4A4T,2025-04-16T22:11:30+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-92,10代,南山大学,その他,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DNNRPRYG2,2025-04-16T22:18:01+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-39,10代,名古屋大学,所属校・会社からの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DNP33N2M7,2025-04-16T22:24:26+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-56,40代,なし,その他,登壇者によるトークセッション,社会人,,
0214DNPSIhIKG,2025-04-16T22:37:42+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-93,20代,南山大学,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",大学生大学院生,,
0214DNR8I1JYY,2025-04-16T23:06:07+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-24,10代,八日市高校,登壇者・出展者からの紹介,"ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",高校生,,
0214DNT76R57B,2025-04-16T23:44:14+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-94,10代,名古屋市立大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ブレイク),アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214DNU70925B,2025-04-17T00:03:03+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-40,10代,名古屋大学,"Club Instagram,スタッフからの紹介",登壇者によるトークセッション,大学生大学院生,遅刻します。,
0214DPGY2D5NK,2025-04-17T07:21:12+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-41,10代,名古屋大学,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214DPJBBD3BU,2025-04-17T08:07:11+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-57,50代,椙山女学園中学校・高等学校,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー",社会人,,
0214DPKF6MD8T,2025-04-17T08:28:32+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-18,10代,愛知県立旭丘高等学校 天文部,Club X,"ディスカバリーセッション(ワークショップ),アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214DPKXDJ0DB,2025-04-17T08:37:46+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-95,20代,名古屋大学,Club ホームページ,登壇者によるトークセッション,大学生大学院生,,
0214DPNY7JJAD,2025-04-17T09:16:43+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-58,50代,デンソー,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DPQ7MI3MW,2025-04-17T09:41:26+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-59,50代,株式会社デンソー,その他,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DPRGQQQPE,2025-04-17T10:06:15+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-42,10代,名古屋大学,その他,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",大学生大学院生,,
0214DPSW781hR,2025-04-17T10:32:59+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-96,10代,名古屋大学,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DPW604hDN,2025-04-17T11:37:40+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-25,10代,愛知県立名古屋西高等学校,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",高校生,,
0214DPZ6R27RE,2025-04-17T12:34:20+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-97,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DQ0E5F1DX,2025-04-17T12:57:50+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-60,30代,デンソー,その他,新しい知識や価値観の習得,社会人,,
0214DQ0R4D7NM,2025-04-17T13:04:07+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-61,50代,株式会社ワクワクプロジェクト,"所属校・会社からの紹介,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー",社会人,,
0214DQ3RU4hCK,2025-04-17T14:02:34+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-42,50代,福徳日本語学院,Club以外のSNS,登壇者によるトークセッション,社会人,,
0214DQ60KW74P,2025-04-17T14:45:36+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-43,10代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DQ81JKP79,2025-04-17T15:25:06+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-26,10代,愛知県立旭丘高等学校天文部,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",高校生,,
0214DQ8NK614V,2025-04-17T15:37:08+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-27,10代,愛知県立昭和高等学校,その他,新しい知識や価値観の習得,高校生,,
0214DQ9DKDQWY,2025-04-17T15:56:18+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-98,20代,名古屋大学,"Club Instagram,スタッフからの紹介,その他","登壇者によるトークセッション,アフターパーティー,参加者との交流",大学生大学院生,,
0214DQAUEJK28,2025-04-17T16:18:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-99,10代,名古屋大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DQAVSU8JM,2025-04-17T16:19:14+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-44,20代,名古屋大学,スタッフからの紹介,ディスカバリーセッション(ブレイク),大学生大学院生,,
0214DQC86I86K,2025-04-17T16:45:31+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-100,20代,豊田工業大学,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214DQDWRA34C,2025-04-17T17:17:33+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-101,20代,なし,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DQhBEFRIM,2025-04-17T18:23:44+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-45,20代,三重大学,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214DQJNB4GD6,2025-04-17T19:08:28+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-62,40代,（株）BluE Nexus,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー,参加者との交流",社会人,,
0214DQKIChJ3P,2025-04-17T19:25:27+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-102,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DQMTChA37,2025-04-17T19:49:56+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-28,10代,愛知県立名古屋西高等学校,所属校・会社からの紹介,新しい知識や価値観の習得,高校生,,
0214DQP4EX9BI,2025-04-17T20:15:23+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-103,20代,愛知学院大学,"Club Instagram,Club以外のSNS","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DQQBPPEh9,2025-04-17T20:38:47+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-44,40代,無し,スタッフからの紹介,新しい知識や価値観の習得,社会人,,
0214DQQZhNMYG,2025-04-17T20:51:24+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-45,40代,公立学校,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,ここまでを4/17の全ミで確認
0214DQVTZT5RF,2025-04-17T22:25:05+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-63,50代,トヨタ自動車株式会社,所属校・会社からの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214DQVYJB5YG,2025-04-17T22:26:59+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-104,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー",大学生大学院生,,
0214DQWN9K88V,2025-04-17T22:40:18+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-46,10代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DQYYMAU9K,2025-04-17T23:24:43+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-105,10代,南山大学,スタッフからの紹介,"登壇者によるトークセッション,新しい知識や価値観の習得",大学生大学院生,,
0214DQZZ9AFRJ,2025-04-17T23:44:31+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-64,30代,株式会社プロビズモ,Club Instagram,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DR09JEI53,2025-04-17T23:50:16+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-65,20代,北名古屋市役所,Club Facebook,登壇者によるトークセッション,社会人,,
0214DR1SW695N,2025-04-18T00:19:18+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-106,10代,金沢大学,登壇者・出展者からの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DR268E0TI,2025-04-18T00:26:49+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-107,20代,南山大学,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DRNT6Q56S,2025-04-18T07:04:13+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-29,10代,愛知県立岡崎高等学校,所属校・会社からの紹介,新しい知識や価値観の習得,高校生,,
0214DRSM1RBKV,2025-04-18T08:18:00+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-30,10代,愛知県立明和高等学校,所属校・会社からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",高校生,,
0214DRSZ3A9XW,2025-04-18T08:24:28+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-31,10代,愛知県立旭丘高等学校,その他,"参加者との交流,新しい知識や価値観の習得",高校生,,
0214DRTN1N054,2025-04-18T08:37:24+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-66,30代,株式会社シティクラフト,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DRTP5P4BV,2025-04-18T08:38:06+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-47,10代,名古屋大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",大学生大学院生,,
0214DRW01AWTY,2025-04-18T09:23:11+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-48,10代,名古屋工業大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DRXX88hQE,2025-04-18T09:59:47+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-47,60代以上,なし,登壇者・出展者からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",社会人,,
0214DS524SNIT,2025-04-18T12:17:24+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-49,20代,名古屋大学,スタッフからの紹介,ディスカバリーセッション(ブレイク),大学生大学院生,,
0214DS66Q6I21,2025-04-18T12:39:24+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-108,10代,名城大学,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー",大学生大学院生,,
0214DS789DS96,2025-04-18T12:59:23+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-109,20代,中部大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DSJ2EJGQP,2025-04-18T16:47:17+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-50,10代,岐阜聖徳学園大学,Club Instagram,登壇者によるトークセッション,大学生大学院生,,
0214DSJ4JSIXU,2025-04-18T16:48:36+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-110,20代,愛知大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ)",大学生大学院生,,
0214DSNPXT6h1,2025-04-18T17:57:14+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-112,20代,北海道大学,Club Instagram,ディスカバリーセッション(ブレイク),大学生大学院生,,
0214DSPXhD4X6,2025-04-18T18:21:03+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-113,20代,愛知淑徳大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DSRTAUA8K,2025-04-18T18:57:01+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-20,10代,東邦高等学校,登壇者・出展者からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214DSRX6B35V,2025-04-18T18:59:09+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-67,30代,東海旅客鉄道株式会社,スタッフからの紹介,"登壇者によるトークセッション,参加者との交流",社会人,,
0214DSS21DY6D,2025-04-18T19:02:00+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-21,10代,愛工大名電高校,スタッフからの紹介,参加者との交流,高校生,,
0214DSSE9CU0R,2025-04-18T19:08:51+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-114,10代,南山大学,スタッフからの紹介,"アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DST2PFMAh,2025-04-18T19:21:50+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-115,20代,愛知淑徳大学,スタッフからの紹介,"アフターパーティー,参加者との交流",大学生大学院生,,
0214DST6FW5DI,2025-04-18T19:23:38+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-116,10代,南山大学,スタッフからの紹介,"アフターパーティー,参加者との交流",大学生大学院生,,
0214DSTANMAVS,2025-04-18T19:26:24+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-68,20代,有限会社 ジャパン・アグリ・ベンチャー・ユニット,その他,アフターパーティー,社会人,,
0214DSThTI20Q,2025-04-18T19:31:30+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-117,10代,南山大学,"Club Instagram,登壇者・出展者からの紹介","アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214DSUV1TXWV,2025-04-18T19:55:45+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-22,10代,刈谷高校,その他,参加者との交流,高校生,,
0214DSX43PKQ7,2025-04-18T20:39:25+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-118,20代,Nagoya University,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DSYWZG28M,2025-04-18T21:14:11+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-119,10代,南山大学,スタッフからの紹介,"アフターパーティー,参加者との交流",大学生大学院生,,
0214DSZNQTD1Y,2025-04-18T21:28:29+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-120,10代,鈴鹿医療科学大学,登壇者・出展者からの紹介,アフターパーティー,大学生大学院生,,
0214DT04T4SBY,2025-04-18T21:37:37+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-51,10代,愛知学院大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DT0C2GJ1N,2025-04-18T21:42:06+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-69,50代,株式会社デンソー,その他,登壇者によるトークセッション,社会人,,
0214DT0IEI8UF,2025-04-18T21:45:19+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-52,10代,なし,スタッフからの紹介,アフターパーティー,大学生大学院生,,
0214DT0TAJ06D,2025-04-18T21:50:53+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-121,20代,名古屋大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DT17UG3FS,2025-04-18T21:58:37+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-122,10代,東北大学経済学部,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),アフターパーティー,参加者との交流",大学生大学院生,,
0214DT1T8PQFA,2025-04-18T22:09:38+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-53,10代,静岡県立大学,スタッフからの紹介,新しい知識や価値観の習得,大学生大学院生,,
0214DT237FYAE,2025-04-18T22:15:40+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-54,20代,中部学院大学,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク)",大学生大学院生,,
0214DT29W9NS9,2025-04-18T22:19:00+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-70,40代,Brain-Plus,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",社会人,,
0214DT2KE8K4W,2025-04-18T22:25:53+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-23,10代,滝高校学校,その他,"参加者との交流,新しい知識や価値観の習得",高校生,,
0214DT3YMGZWR,2025-04-18T22:51:09+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-24,10代,旭丘高校,所属校・会社からの紹介,新しい知識や価値観の習得,高校生,,
0214DT4Jh6XQ7,2025-04-18T23:02:57+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-123,10代,南山大学,スタッフからの紹介,アフターパーティー,大学生大学院生,,
0214DT6BWKXYQ,2025-04-18T23:37:21+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-124,20代,名古屋大学,スタッフからの紹介,参加者との交流,大学生大学院生,,
0214DU0X9A9hP,2025-04-19T08:47:51+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-49,40代,東京海上日動火災保険株式会社（6月末まで）\r\nKokoroMedi,"Club ホームページ,Club以外のSNS","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",社会人,,
0214DU1381F07,2025-04-19T08:51:04+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-50,60代以上,居宅介護支援事業所りぽっけ,Club以外のSNS,ディスカバリーセッション(ワークショップ),社会人,,
0214DU2ChJC0K,2025-04-19T09:17:14+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-32,10代,駿台甲府高等学校通信制課程,Club X,"参加者との交流,新しい知識や価値観の習得",高校生,,
0214DU9FZRMT4,2025-04-19T11:32:44+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-55,10代,名城大学,"登壇者・出展者からの紹介,その他",新しい知識や価値観の習得,大学生大学院生,,
0214DUA8TKERA,2025-04-19T11:48:01+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-56,10代,南山大学,スタッフからの紹介,登壇者によるトークセッション,大学生大学院生,,
0214DUCF5C1XP,2025-04-19T12:29:47+09:00,大学生・大学院生【AP無し】_1,027nafamkb741,Club 2025,C-57,10代,愛知淑徳大学,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214DUN84BJXT,2025-04-19T15:38:24+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-33,10代,同志社高等学校,Club以外のSNS,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),参加者との交流,新しい知識や価値観の習得",高校生,,
0214DUQPDE03K,2025-04-19T16:25:35+09:00,高校生以下【AP無し】_1,027nafamkb741,Club 2025,A-34,10代,愛知県立港特別支援学校,所属校・会社からの紹介,登壇者によるトークセッション,高校生,,
